model-project/dummy_images/YSL/包/已整理/3月/20250318/1-10/YSL BLACK CASSANDRE QUILTED MINI CROSSBODY BAG 7648092IU071000 (19.5x14x4cm)/主图/画板 5.jpg,11,Bag,FALSE
model-project/dummy_images/YSL/包/备份/20250318/1-10/YSL BLACK CASSANDRE QUILTED MINI CROSSBODY BAG 7648092IU071000 (19.5x14x4cm)/附图/IU071000-1.jpg,11,Bag,FALSE
model-project/dummy_images/YSL/包/备份/20250318/1-10/YSL BLACK CASSANDRE QUILTED MINI CROSSBODY BAG 7648092IU071000 (19.5x14x4cm)/附图/IU071000-2.jpg,11,Bag,FALSE
model-project/dummy_images/YSL/包/备份/20250318/1-10/YSL BLACK CASSANDRE QUILTED MINI CROSSBODY BAG 7648092IU071000 (19.5x14x4cm)/附图/IU071000-3.jpg,11,Bag,FALSE
model-project/dummy_images/YSL/包/已整理/3月/20250318/1-10/YSL BLACK CASSANDRE QUILTED MINI CROSSBODY BAG 7648092IU071000 (19.5x14x4cm)/附图/IU071000-1.jpg,11,Bag,TRUE
model-project/dummy_images/YSL/包/已整理/3月/20250318/1-10/YSL BLACK CASSANDRE QUILTED MINI CROSSBODY BAG 7648092IU071000 (19.5x14x4cm)/附图/IU071000-2.jpg,11,Bag,TRUE
model-project/dummy_images/YSL/包/已整理/3月/20250318/1-10/YSL BLACK CASSANDRE QUILTED MINI CROSSBODY BAG 7648092IU071000 (19.5x14x4cm)/附图/IU071000-3.jpg,11,Bag,TRUE
model-project/dummy_images/YSL/包/备份/20250318/1-10/YSL CASSANDRE MATELASSé CARRé CAMERA BAG IN LAMBSKIN 764809AABVP1000 (19.5x14x4cm)/主图/cassandre matelassé carré camera bag in lambskin (4).jpg,22,Bag,FALSE
model-project/dummy_images/YSL/包/备份/20250318/1-10/YSL CASSANDRE MATELASSé CARRé CAMERA BAG IN LAMBSKIN 764809AABVP1000 (19.5x14x4cm)/附图/cassandre matelassé carré camera bag in lambskin (5).jpg,22,Bag,FALSE
model-project/dummy_images/YSL/包/备份/20250318/1-10/YSL CASSANDRE MATELASSé CARRé CAMERA BAG IN LAMBSKIN 764809AABVP1000 (19.5x14x4cm)/附图/cassandre matelassé carré camera bag in lambskin (6).jpg,22,Bag,FALSE
model-project/dummy_images/YSL/包/备份/20250318/1-10/YSL CASSANDRE MATELASSé CARRé CAMERA BAG IN LAMBSKIN 764809AABVP1000 (19.5x14x4cm)/附图/cassandre matelassé carré camera bag in lambskin (7).jpg,22,Bag,FALSE
model-project/dummy_images/YSL/包/已整理/3月/20250318/1-10/YSL CASSANDRE MATELASSé CARRé CAMERA BAG IN LAMBSKIN 764809AABVP1000 (19.5x14x4cm)/附图/cassandre matelassé carré camera bag in lambskin (5).jpg,22,Bag,TRUE
model-project/dummy_images/YSL/包/已整理/3月/20250318/1-10/YSL CASSANDRE MATELASSé CARRé CAMERA BAG IN LAMBSKIN 764809AABVP1000 (19.5x14x4cm)/附图/cassandre matelassé carré camera bag in lambskin (6).jpg,22,Bag,TRUE
model-project/dummy_images/YSL/包/已整理/3月/20250318/1-10/YSL CASSANDRE MATELASSé CARRé CAMERA BAG IN LAMBSKIN 764809AABVP1000 (19.5x14x4cm)/附图/cassandre matelassé carré camera bag in lambskin (7).jpg,22,Bag,TRUE
